book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
4pgQfXQvekcC,c programming,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in other languages. Complete with quizzes, exercises, and helpful illustrations, this easy-to-follow, self-paced tutorial gets you started with both Python 2.7 and 3.3— the latest releases in the 3.X and 2.X lines—plus all other releases in common use today. You’ll also learn some advanced language features that recently have become more common in Python code. Explore Python’s major built-in object types such as numbers, lists, and dictionaries Create and process objects with Python statements, and learn Python’s general syntax model Use functions to avoid code redundancy and package code for reuse Organize statements, functions, and other tools into larger components with modules Dive into classes: Python’s object-oriented programming tool for structuring code Write large programs with Python’s exception-handling model and development tools Learn advanced Python tools, including decorators, descriptors, metaclasses, and Unicode processing",ISBN_13,True,True,1733,Computers,en,http://books.google.com/books/content?id=4pgQfXQvekcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4,3.5,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2013-06-12,"""O'Reilly Media, Inc."""
J93uzwEACAAJ,c programming,Python Tutorial 3.11.3,N/A,"Guido Van Rossum, Python Development Team",N/A,ISBN_10,False,False,0,N/A,en,http://books.google.com/books/content?id=J93uzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2023-05-12,N/A
T5bRDAAAQBAJ,c programming,"Introduction to Computation and Programming Using Python, second edition",With Application to Understanding Data,John V. Guttag,"The new edition of an introductory text that teaches students the art of computational problem solving, covering topics ranging from simple algorithms to information visualization. This book introduces students with little or no prior programming experience to the art of computational problem solving using Python and various Python libraries, including PyLab. It provides students with skills that will enable them to make productive use of computational techniques, including some of the tools and techniques of data science for using computation to model and interpret data. The book is based on an MIT course (which became the most popular course offered through MIT's OpenCourseWare) and was developed for use not only in a conventional classroom but in in a massive open online course (MOOC). This new edition has been updated for Python 3, reorganized to make it easier to use for courses that cover only a subset of the material, and offers additional material including five new chapters. Students are introduced to Python and the basics of programming in the context of such computational concepts and techniques as exhaustive enumeration, bisection search, and efficient approximation algorithms. Although it covers such traditional topics as computational complexity and simple algorithms, the book focuses on a wide range of topics not found in most introductory texts, including information visualization, simulations to model randomness, computational techniques to understand data, and statistical techniques that inform (and misinform) as well as two related but relatively advanced topics: optimization problems and dynamic programming. This edition offers expanded material on statistics and machine learning and new chapters on Frequentist and Bayesian statistics.",ISBN_13,True,True,466,Computers,en,http://books.google.com/books/content?id=T5bRDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016-08-08,MIT Press
EWEXEQAAQBAJ,c programming,Coding for Kids: Python,Learn to Code with 50 Awesome Games and Activities,Adrienne B. Tacke,"Games and activities that teach kids ages 10+ to code with Python Learning to code isn't as hard as it sounds—you just have to get started! Coding for Kids: Python starts kids off right with 50 fun, interactive activities that teach them the basics of the Python programming language. From learning the essential building blocks of programming to creating their very own games, kids will progress through unique lessons packed with helpful examples—and a little silliness! Kids will follow along by starting to code (and debug their code) step by step, seeing the results of their coding in real time. Activities at the end of each chapter help test their new knowledge by combining multiple concepts. For young programmers who really want to show off their creativity, there are extra tricky challenges to tackle after each chapter. All kids need to get started is a computer and this book. This beginner's guide to Python for kids includes: 50 Innovative exercises—Coding concepts come to life with game-based exercises for creating code blocks, drawing pictures using a prewritten module, and more. Easy-to-follow guidance—New coders will be supported by thorough instructions, sample code, and explanations of new programming terms. Engaging visual lessons—Colorful illustrations and screenshots for reference help capture kids' interest and keep lessons clear and simple. Encourage kids to think independently and have fun learning an amazing new skill with this coding book for kids.",ISBN_13,True,True,329,Juvenile Nonfiction,en,http://books.google.com/books/content?id=EWEXEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,1234.51,INR,0.0,INR,https://play.google.com/store/books/details?id=EWEXEQAAQBAJ&rdid=book-EWEXEQAAQBAJ&rdot=1&source=gbs_api,2019-03-19,"Sourcebooks, Inc."
aJQILlLxRmAC,c programming,Python Programming,An Introduction to Computer Science,John M. Zelle,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as possible without being simplistic.",ISBN_13,False,True,533,Computers,en,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,18,4.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2004,"Franklin, Beedle & Associates, Inc."
HYpbwwEACAAJ,c programming,Python Programming,Using Problem Solving Approach,Reema Thareja,"Python Programming is designed as a textbook to fulfil the requirements of the first-level course in Python programming. It is suited for undergraduate degree students of computer science engineering, IT as well as computer applications. This book will enable students to apply the Python programming concepts in solving real-world problems. The book begins with an introduction to computers, problem solving approaches, programming languages, object oriented programming, and Python programming. Separate chapters dealing with the important constructs of Python language such as control statements, functions, strings, files, data structures, classes and objects, inheritance, operator overloading, and exceptions are provided in the book.",ISBN_10,False,False,0,Computers,en,http://books.google.com/books/content?id=HYpbwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2,4.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2019,"Oxford University Press, USA"
ATgzEAAAQBAJ,c programming,Classic Computer Science Problems in Java,N/A,David Kopec,"Sharpen your coding skills by exploring established computer science problems! Classic Computer Science Problems in Java challenges you with time-tested scenarios and algorithms. Summary Sharpen your coding skills by exploring established computer science problems! Classic Computer Science Problems in Java challenges you with time-tested scenarios and algorithms. You’ll work through a series of exercises based in computer science fundamentals that are designed to improve your software development abilities, improve your understanding of artificial intelligence, and even prepare you to ace an interview. As you work through examples in search, clustering, graphs, and more, you'll remember important things you've forgotten and discover classic solutions to your ""new"" problems! Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Whatever software development problem you’re facing, odds are someone has already uncovered a solution. This book collects the most useful solutions devised, guiding you through a variety of challenges and tried-and-true problem-solving techniques. The principles and algorithms presented here are guaranteed to save you countless hours in project after project. About the book Classic Computer Science Problems in Java is a master class in computer programming designed around 55 exercises that have been used in computer science classrooms for years. You’ll work through hands-on examples as you explore core algorithms, constraint problems, AI applications, and much more. What's inside Recursion, memoization, and bit manipulation Search, graph, and genetic algorithms Constraint-satisfaction problems K-means clustering, neural networks, and adversarial search About the reader For intermediate Java programmers. About the author David Kopec is an assistant professor of Computer Science and Innovation at Champlain College in Burlington, Vermont. Table of Contents 1 Small problems 2 Search problems 3 Constraint-satisfaction problems 4 Graph problems 5 Genetic algorithms 6 K-means clustering 7 Fairly simple neural networks 8 Adversarial search 9 Miscellaneous problems 10 Interview with Brian Goetz",ISBN_13,True,False,262,Computers,en,http://books.google.com/books/content?id=ATgzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,2489.8,INR,0.0,INR,https://play.google.com/store/books/details?id=ATgzEAAAQBAJ&rdid=book-ATgzEAAAQBAJ&rdot=1&source=gbs_api,2020-12-21,Simon and Schuster
nEJ-jcYF2fMC,c programming,Learning Python,N/A,Mark Lutz,"Portable, powerful, and a breeze to use, Python is ideal for both standalone programs and scripting applications. With this hands-on book, you can master the fundamentals of the core Python language quickly and efficiently, whether you're new to programming or just new to Python. Once you finish, you will know enough about the language to use it in any application domain you choose. Learning Python is based on material from author Mark Lutz's popular training courses, which he's taught over the past decade. Each chapter is a self-contained lesson that helps you thoroughly understand a key component of Python before you continue. Along with plenty of annotated examples, illustrations, and chapter summaries, every chapter also contains Brain Builder, a unique section with practical exercises and review quizzes that let you practice new skills and test your understanding as you go. This book covers: Types and Operations -- Python's major built-in object types in depth: numbers, lists, dictionaries, and more Statements and Syntax -- the code you type to create and process objects in Python, along with Python's general syntax model Functions -- Python's basic procedural tool for structuring and reusing code Modules -- packages of statements, functions, and other tools organized into larger components Classes and OOP -- Python's optional object-oriented programming tool for structuring code for customization and reuse Exceptions and Tools -- exception handling model and statements, plus a look at development tools for writing larger programs Learning Python gives you a deep and complete understanding of the language that will help you comprehend any application-level examples of Python that you later encounter. If you're ready to discover what Google and YouTube see in Python, this book is the best way to get started.",ISBN_13,True,True,749,Computers,en,http://books.google.com/books/content?id=nEJ-jcYF2fMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,26,4.0,IN,FOR_SALE,True,3231.02,INR,0.0,INR,https://play.google.com/store/books/details?id=nEJ-jcYF2fMC&rdid=book-nEJ-jcYF2fMC&rdot=1&source=gbs_api,2007-10-22,"""O'Reilly Media, Inc."""
AQgvDwAAQBAJ,c programming,"Invent Your Own Computer Games with Python, 4th Edition",N/A,Al Sweigart,"Invent Your Own Computer Games with Python will teach you how to make computer games using the popular Python programming language—even if you’ve never programmed before! Begin by building classic games like Hangman, Guess the Number, and Tic-Tac-Toe, and then work your way up to more advanced games, like a text-based treasure hunting game and an animated collision-dodging game with sound effects. Along the way, you’ll learn key programming and math concepts that will help you take your game programming to the next level. Learn how to: –Combine loops, variables, and flow control statements into real working programs –Choose the right data structures for the job, such as lists, dictionaries, and tuples –Add graphics and animation to your games with the pygame module –Handle keyboard and mouse input –Program simple artificial intelligence so you can play against the computer –Use cryptography to convert text messages into secret code –Debug your programs and find common errors As you work through each game, you’ll build a solid foundation in Python and an understanding of computer science fundamentals. What new game will you create with the power of Python? The projects in this book are compatible with Python 3.",ISBN_13,True,False,377,Computers,en,http://books.google.com/books/content?id=AQgvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,IN,FOR_SALE,True,1994.2,INR,0.0,INR,https://play.google.com/store/books/details?id=AQgvDwAAQBAJ&rdid=book-AQgvDwAAQBAJ&rdot=1&source=gbs_api,2016-12-16,No Starch Press
WplVzgEACAAJ,c programming,Python Basics,A Practical Introduction to Python 3,"Dan Bader, Joanna Jablonski, Fletcher Heisler","Make the Leap From Beginner to Intermediate in Python... Python Basics: A Practical Introduction to Python 3 Your Complete Python Curriculum-With Exercises, Interactive Quizzes, and Sample Projects What should you learn about Python in the beginning to get a strong foundation? With Python Basics, you'll not only cover the core concepts you really need to know, but you'll also learn them in the most efficient order with the help of practical exercises and interactive quizzes. You'll know enough to be dangerous with Python, fast! Who Should Read This Book If you're new to Python, you'll get a practical, step-by-step roadmap on developing your foundational skills. You'll be introduced to each concept and language feature in a logical order. Every step in this curriculum is explained and illustrated with short, clear code samples. Our goal with this book is to educate, not to impress or intimidate. If you're familiar with some basic programming concepts, you'll get a clear and well-tested introduction to Python. This is a practical introduction to Python that jumps right into the meat and potatoes without sacrificing substance. If you have prior experience with languages like VBA, PowerShell, R, Perl, C, C++, C#, Java, or Swift the numerous exercises within each chapter will fast-track your progress. If you're a seasoned developer, you'll get a Python 3 crash course that brings you up to speed with modern Python programming. Mix and match the chapters that interest you the most and use the interactive quizzes and review exercises to check your learning progress as you go along. If you're a self-starter completely new to coding, you'll get practical and motivating examples. You'll begin by installing Python and setting up a coding environment on your computer from scratch, and then continue from there. We'll get you coding right away so that you become competent and knowledgeable enough to solve real-world problems, fast. Develop a passion for programming by solving interesting problems with Python every day! If you're looking to break into a coding or data-science career, you'll pick up the practical foundations with this book. We won't just dump a boat load of theoretical information on you so you can ""sink or swim""-instead you'll learn from hands-on, practical examples one step at a time. Each concept is broken down for you so you'll always know what you can do with it in practical terms. If you're interested in teaching others ""how to Python,"" this will be your guidebook. If you're looking to stoke the coding flame in your coworkers, kids, or relatives-use our material to teach them. All the sequencing has been done for you so you'll always know what to cover next and how to explain it. What Python Developers Say About The Book: ""Go forth and learn this amazing language using this great book."" - Michael Kennedy, Talk Python ""The wording is casual, easy to understand, and makes the information flow well."" - Thomas Wong, Pythonista ""I floundered for a long time trying to teach myself. I slogged through dozens of incomplete online tutorials. I snoozed through hours of boring screencasts. I gave up on countless crufty books from big-time publishers. And then I found Real Python. The easy-to-follow, step-by-step instructions break the big concepts down into bite-sized chunks written in plain English. The authors never forget their audience and are consistently thorough and detailed in their explanations. I'm up and running now, but I constantly refer to the material for guidance."" - Jared Nielsen, Pythonista",ISBN_10,False,False,636,N/A,en,http://books.google.com/books/content?id=WplVzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,3.0,IN,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2021-03-16,Real Python (Realpython.Com)
